Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,Station,NumMosquitos,WnvPresent,Sunrise,Sunset,CodeSum,ResultDir,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,AvgSpeed
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,1,0,0421,1917,BR HZ,18,75.43333333333334,51.6,63.73333333333333,5.166666666666667,45.26666666666666,54.03333333333333,3.8666666666666663,2.6,0.0,0.05966666666666666,29.36133333333333,30.085,8.64666666666667,10.363333333333337
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,1,0,0421,1917,BR HZ,18,75.43333333333334,51.6,63.73333333333333,5.166666666666667,45.26666666666666,54.03333333333333,3.8666666666666663,2.6,0.0,0.05966666666666666,29.36133333333333,30.085,8.64666666666667,10.363333333333337
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,1,0,0421,1917,BR HZ,18,75.43333333333334,51.6,63.73333333333333,5.166666666666667,45.26666666666666,54.03333333333333,3.8666666666666663,2.6,0.0,0.05966666666666666,29.36133333333333,30.085,8.64666666666667,10.363333333333337
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,1,0,0421,1917,BR HZ,18,75.43333333333334,51.6,63.73333333333333,5.166666666666667,45.26666666666666,54.03333333333333,3.8666666666666663,2.6,0.0,0.05966666666666666,29.36133333333333,30.085,8.64666666666667,10.363333333333337
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,4,0,0421,1917,BR HZ,18,75.43333333333334,51.6,63.73333333333333,5.166666666666667,45.26666666666666,54.03333333333333,3.8666666666666663,2.6,0.0,0.05966666666666666,29.36133333333333,30.085,8.64666666666667,10.363333333333337
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,2,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,2,1,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,1,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,2,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,1,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,2,1,0,-,-,BR HZ,16,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.04166666666666666,29.425000000000004,30.079,8.44,9.993333333333334
